,chid,AGE,GENDER,CYCLIST_TYPE,CYCLIST_FREQ,variable,value,WIDTH,HEIGHT
294,60,33,Male,COMMUTER,DAILY,STANDARD,1,0.5,0.0
295,61,39,Male,COMMUTER,DAILY,STANDARD,1,0.5,0.0
296,62,38,Female,COMMUTER,WEEKLY,STANDARD,1,0.5,0.0
297,63,30,Female,COMMUTER,WEEKLY,STANDARD,1,0.5,0.0
298,64,21,Male,COMMUTER,DAILY,STANDARD,1,0.5,0.0
299,65,70,Male,COMMUTER,DAILY,STANDARD,1,0.5,0.0
300,66,24,Female,COMMUTER,WEEKLY,STANDARD,1,0.5,0.0
301,67,36,Female,COMMUTER,DAILY,STANDARD,5,0.5,0.0
302,68,68,Female,COMMUTER,DAILY,STANDARD,1,0.5,0.0
303,69,43,Female,COMMUTER,DAILY,STANDARD,1,0.5,0.0
304,70,54,Female,SOCIAL,RARELY,STANDARD,1,0.5,0.0
305,71,71,Male,COMMUTER,DAILY,STANDARD,1,0.5,0.0
306,72,49,Female,COMMUTER,DAILY,STANDARD,1,0.5,0.0
307,73,36,Male,COMMUTER,DAILY,STANDARD,1,0.5,0.0
308,74,85,Male,RECREATIONAL,DAILY,STANDARD,1,0.5,0.0
309,75,26,Female,COMMUTER,DAILY,STANDARD,1,0.5,0.0
310,76,34,Male,SOCIAL-REC,DAILY,STANDARD,1,0.5,0.0
311,77,56,Female,COMMUTER,DAILY,STANDARD,1,0.5,0.0
312,0,32,Male,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
313,1,32,Female,COMMUTER,DAILY,PARKINGPROTECT,5,12.0,5.0
314,2,34,Female,SOCIAL,RARELY,PARKINGPROTECT,3,12.0,5.0
315,3,45,Male,RECREATIONAL,WEEKLY,PARKINGPROTECT,6,12.0,5.0
316,4,20,Female,SOCIAL,RARELY,PARKINGPROTECT,3,12.0,5.0
317,5,24,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,4,12.0,5.0
318,6,19,Male,COMMUTER,DAILY,PARKINGPROTECT,4,12.0,5.0
319,7,21,Male,RECREATIONAL,WEEKLY,PARKINGPROTECT,5,12.0,5.0
320,8,21,Male,RECREATIONAL,WEEKLY,PARKINGPROTECT,5,12.0,5.0
321,9,21,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,5,12.0,5.0
322,10,22,Male,COMMUTER,DAILY,PARKINGPROTECT,4,12.0,5.0
323,11,27,Female,SOCIAL,RARELY,PARKINGPROTECT,5,12.0,5.0
324,12,19,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,4,12.0,5.0
325,13,42,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,4,12.0,5.0
326,14,41,Female,COMMUTER,DAILY,PARKINGPROTECT,3,12.0,5.0
327,15,53,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,5,12.0,5.0
328,16,45,Female,SOCIAL-REC,MONTHLY,PARKINGPROTECT,4,12.0,5.0
329,17,46,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,5,12.0,5.0
330,18,51,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,4,12.0,5.0
331,19,50,Female,RECREATIONAL,WEEKLY,PARKINGPROTECT,5,12.0,5.0
332,20,50,Female,RECREATIONAL,DAILY,PARKINGPROTECT,6,12.0,5.0
333,21,60,Female,SOCIAL-REC,RARELY,PARKINGPROTECT,3,12.0,5.0
334,22,57,Prefer not to say,RECREATIONAL,DAILY,PARKINGPROTECT,2,12.0,5.0
335,23,49,Prefer not to say,SOCIAL-REC,MONTHLY,PARKINGPROTECT,3,12.0,5.0
336,24,50,Female,SOCIAL-REC,WEEKLY,PARKINGPROTECT,5,12.0,5.0
337,25,50,Female,RECREATIONAL,WEEKLY,PARKINGPROTECT,5,12.0,5.0
